0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
7,0
13,0
20,0
27,0
34,0
41,0
49,0
56,0
64,0
71,0
78,0
86,0
93,0
100,0
108,0
116,0
124,0
134,0
142,0
150,0
158,0
166,0
175,0
183,0
191,0
200,0
208,0
217,0
225,0
233,0
241,0
249,0
258,0
267,0
275,0
283,0
291,0
300,0
308,0
316,0
324,0
333,0
342,0
350,0
358,0
366,0
374,0
382,0
391,0
400,0
408,0
416,0
424,0
433,0
441,0
449,0
457,0
466,0
475,0
483,0
491,0
499,0
507,168
518,168
529,168
539,168
549,168
560,168
570,168
580,168
590,168
602,168
612,168
622,168
632,168
643,168
653,168
664,168
674,168
685,168
695,168
705,168
715,168
727,168
737,168
747,168
757,168
768,168
778,168
788,168
799,168
809,168
820,168
830,168
840,168
850,168
862,168
872,168
882,168
892,168
903,168
913,168
923,168
934,168
945,168
955,168
965,168
975,168
986,168
997,168
1007,-155
1019,-155
1032,-155
1044,-155
1056,-155
1070,-155
1082,-155
1094,-155
1106,-155
1119,-155
1132,-155
1144,-155
1157,-155
1169,-155
1181,-155
1195,-155
1207,-155
1219,-155
1231,-155
1244,-155
1256,-155
1269,-155
1282,-155
1294,-155
1306,-155
1318,-155
1332,-155
1344,-155
1356,-155
1369,-155
1381,-155
1394,-155
1406,-155
1419,-155
1431,-155
1443,-155
1456,-155
1469,-155
1481,-155
1494,-155
1506,-155
1519,106
1530,106
1542,106
1553,106
1564,106
1575,106
1587,106
1599,106
1610,106
1622,106
1633,106
1644,106
1655,106
1668,106
1679,106
1690,106
1701,106
1713,106
1725,106
1736,106
1747,106
1759,106
1770,106
1781,106
1794,106
1805,106
1816,106
1827,106
1839,106
1850,106
1862,106
1873,106
1885,106
1896,106
1907,106
1918,106
1931,106
1942,106
1953,106
1965,106
1976,106
1987,106
1999,106
2011,106
2022,-251
2034,-251
2046,-251
2060,-251
2072,-251
2084,-251
2097,-251
2109,-251
2121,-251
2135,-251
2147,-251
2159,-251
2171,-251
2184,-251
2197,-251
2209,-251
2222,-251
2234,-251
2246,-251
2259,-251
2272,-251
2284,-251
2296,-251
2309,-251
2321,-251
2334,-251
2347,-251
2359,-251
2371,-251
2383,-251
2397,-251
2409,-251
2421,-251
2434,-251
2446,-251
2459,-251
2471,-251
2484,-251
2496,-251
2508,-251
2521,-251
2534,60
2544,60
2554,60
2565,60
2575,60
2585,60
2596,60
2607,60
2617,60
2627,60
2637,60
2648,60
2659,60
2669,60
2679,60
2690,60
2700,60
2710,60
2720,60
2732,60
2742,60
2752,60
2762,60
2772,60
2783,60
2794,60
2804,60
2814,60
2825,60
2835,60
2845,60
2856,60
